"","loc","date","SIF_A_ifld.x","SIF_B_ifld.x","SIF_A_sfm.x","SIF_B_sfm.x","doy.dayfract","datetime","EPAR.x","Incoming at 750nm [W m-2nm-1sr-1].x","Reflected 760 [W m-2nm-1sr-1].x","Reflected 687 [W m-2nm-1sr-1].x","lai.suns","magvar","geoidheigh","spad","SZA","lu","SIF_A_ifld.sd.x","SIF_B_ifld.sd.x","freq","SIF_A_ifld.y","SIF_B_ifld.y","SIF_A_sfm.y","SIF_B_sfm.y","SIF_A_ifld_rollsd5","SIF_B_ifld_rollsd5","SIF_A_sfm_rollsd5","SIF_B_sfm_rollsd5","SIF_A_ifld_rollsd11","SIF_B_ifld_rollsd11","SIF_A_sfm_rollsd11","SIF_B_sfm_rollsd11","SIF_A_ifld_rollsd31","SIF_B_ifld_rollsd31","SIF_A_sfm_rollsd31","SIF_B_sfm_rollsd31","SIF_A_ifld_rollsd61","SIF_B_ifld_rollsd61","SIF_A_sfm_rollsd61","SIF_B_sfm_rollsd61","SIF_A_ifld.sd.y","SIF_B_ifld.sd.y","EPAR.y","Incoming at 750nm [W m-2nm-1sr-1].y","Reflected 760 [W m-2nm-1sr-1].y","Reflected 687 [W m-2nm-1sr-1].y","SIF680..iFLD","SIF680_uncer","SIF760..iFLD","SIF760_uncer","Simple.Ratio","SNR.x","SNR.y","up_cor_SIF_A_ifld.y","down_cor_SIF_A_ifld.x","rSIF_A_ifld","nrSIF_A_ifld","SIF_A_yield.x","SIF_A_yield.y","SIF_A_yield.x2","SIF_A_yield.x3","SIF_A_yield.y2","SIF_A_yield.y3"
"1","SB0.1",2018-06-26 13:30:00,1.28420969033333,0.234341894333333,1.71356204433333,1.18777469233333,177.565185166667,2018-06-26 13:33:00,0.374709514333333,0.310479625333333,0.128664121,0.0141624256666667,3.2,320809.790188642,5637737.05935474,50,33.6666092033333,"SB",0.0148792085716701,0.088972384701528,3,1.5514055574223,0.9782453131131,1.81638692228,0.828702996382288,0.0697200399035417,0.109610565251194,0.0417254374135614,0.0432584403438281,0.0879756507463359,0.0983323889208,0.0507737835130866,0.0445455985921931,0.124749001946275,0.0968510165908081,0.0839017764825807,0.0563042952669614,0.135876402088826,0.123165497490185,0.0981978217898739,0.0717471019773417,0.0601623580402745,0.129656710413922,0.294966523034813,0.27403762135609,0.0850752672628969,0.00694220825920495,0.0683441557222409,0,0.953614012603779,0,10.4796651639919,86.3090052234673,25.7869805632243,1.83988173680637,1.24684064262398,-0.30456491479832,0.805716196686141,4.13621244535643,5.66128675962479,4.01585334717331,4.54988857534935,6.71397499256349,5.92593389930517
"2","SB0.1",2018-06-26 13:35:00,1.45646420625,0.227594538,1.7382210715,1.12067546875,177.56761865,2018-06-26 13:36:30,0.37339623025,0.31220598925,0.1298159665,0.014074688,3.2,320809.790188642,5637737.05935474,50,34.2093478025,"SB",0.130128789548626,0.139353534250328,4,1.47878191077991,1.00626438748822,1.77026934302829,0.859486815197624,0.0951569370194289,0.0755788622525305,0.0467087348286281,0.0358572118065281,0.0958697361902248,0.0899801149144184,0.0429815284626071,0.0419709519617295,0.12119035618463,0.106429998107129,0.07917842984765,0.0569593812808156,0.126501324173859,0.126183946668698,0.0936449882776072,0.0666352124392647,0.0943620922157028,0.0570865494177756,0.295673246028004,0.272940023396431,0.0849076090396191,0.00691390495353424,0.0683441557222409,0,0.953614012603779,0,10.4796651639919,11.1924825498031,15.6713556901595,1.75231650110377,1.33132286995531,-0.147459040824595,0.948297341331386,4.66507452258942,5.41797385512808,4.26424513236756,4.87771215591067,6.42015223453916,5.6126934185769
"3","SB0.2",2018-06-26 13:20:00,1.381376383,0.033782877,1.416949514,0.833192586,177.5589352,2018-06-26 13:24:00,0.372224946,0.306548975,0.123311452,0.016841346,2.8,320816.472987876,5637697.98123735,52.6,32.29973613,"SB",NA,NA,1,1.70325259808514,1.12147706424535,1.88637879290556,0.889280391588673,0.0846954467715123,0.100154001657187,0.0914547707679145,0.0586904488128873,0.111972969536659,0.0889467487920295,0.0950950900783095,0.055270086704835,0.107546964229094,0.0993632208780286,0.079811321948541,0.0508327801683294,0.14660752826594,0.11863722685338,0.101216765887768,0.0683269163198398,0.034539993176124,0.0857934636175692,0.304800508493193,0.281770283601499,0.0877034841695144,0.00705475233838358,0.228525397620063,0,0.852507341956354,0,9.32446013619984,NA,49.3124763922226,2.02296978761518,1.29449604704235,-0.408756551042793,0.80221922838275,4.50621758888608,6.04482692892488,4.22280337764088,4.59415389904325,7.17950012953182,6.59917322383864
"4","SB0.2",2018-06-26 13:25:00,1.2226759322,0.1853537542,1.4808896408,1.161978348,177.56101852,2018-06-26 13:27:00,0.356375289,0.3015769584,0.1278182974,0.0162027964,2.8,320816.472987876,5637697.98123735,52.6,32.751292678,"SB",0.0433138951081962,0.148449883018924,5,1.58498277616012,1.08715813353749,1.79493635104112,0.848165783662161,0.0707717417123859,0.0914478219717398,0.05878722491828,0.052786960660406,0.0942099653951168,0.110562933823119,0.0742576959466143,0.0539103588805262,0.120754990088977,0.0954239173816637,0.0826010333064395,0.0523821467546502,0.143486979402532,0.122326997413906,0.0994185224245827,0.0703392998947137,0.0631834457659867,0.0737861185659561,0.299903998589724,0.275361878194812,0.085665990927861,0.00695219614175983,0.228525397620063,0,0.852507341956354,0,9.32446013619984,28.2282609113267,25.085412119346,1.88036713252731,1.21666141094749,-0.368321365212635,0.807173467635403,4.05427503044941,5.75599929282435,4.03433146020976,4.41840903658687,6.82871261938805,6.23511538316287
"5","SB0.3",2018-06-26 13:15:00,1.2941345365,0.0069870365,1.3918310325,1.1637330575,177.55510415,2018-06-26 13:18:30,0.374139715,0.3178371825,0.122967486,0.0212689595,1.6,320795.258558226,5637687.47059512,54.8,31.48314395,"SB",0.0889735244716911,0.314521146476358,2,1.66260373474089,1.19540419357194,1.95167698858656,0.913850458879929,0.138761870425143,0.0879336902721684,0.0941837422159545,0.0514118069470427,0.109467974944199,0.080667357331534,0.0823947478182838,0.0530167914718326,0.115716721035013,0.0973689899780017,0.0841657202652401,0.0510790056515443,0.155591176290036,0.108236112574978,0.111170013704937,0.0686308936256308,0.164706570768518,0.0862289802358641,0.309340177634232,0.284184712232712,0.0885379154258502,0.00706611615545841,0.249258675850854,0,0.92249178760541,0,8.75714042076989,14.5451643529279,10.0943376271099,1.97395782712648,1.25170828342643,-0.410895451314462,0.98666678953007,4.07169018527277,5.85043340888592,3.93820595054647,4.40455882933433,6.94603805960559,6.21059440434247
"6","SB0.3",2018-06-26 13:20:00,1.10451810833333,0.0321635036666667,1.24598461966667,1.093591555,177.556848,2018-06-26 13:21:00,0.371027125,0.311151303333333,0.119531792,0.0208033523333333,1.6,320795.258558226,5637687.47059512,54.8,31.85288161,"SB",0.111108641028843,0.180689232723301,3,1.70325259808514,1.12147706424535,1.88637879290556,0.889280391588673,0.0846954467715123,0.100154001657187,0.0914547707679145,0.0586904488128873,0.111972969536659,0.0889467487920295,0.0950950900783095,0.055270086704835,0.107546964229094,0.0993632208780286,0.079811321948541,0.0508327801683294,0.14660752826594,0.11863722685338,0.101216765887768,0.0683269163198398,0.034539993176124,0.0857934636175692,0.304800508493193,0.281770283601499,0.0877034841695144,0.00705475233838358,0.249258675850854,0,0.92249178760541,0,8.75714042076989,9.940883968211,49.3124763922226,2.02296978761518,1.15871090623208,-0.54454169185306,0.877409866998026,3.54977818347775,6.04482692892488,3.72394681885927,4.11225375302819,7.17950012953182,6.50156295648871
"7","SB0.4",2018-06-26 13:10:00,1.591359259,0.369755082333333,1.878135321,1.17363030466667,177.551277,2018-06-26 13:13:00,0.379053972,0.315576730666667,0.144134747666667,0.0123629603333333,2.7,320776.537395517,5637677.76450538,52.6,30.6852009333333,"SB",0.0551342997072184,0.0759450716632413,3,1.65226282628436,1.13030585866045,1.89739449792547,0.943247485984612,0.0961285248388779,0.0458442450808673,0.0578871529040246,0.0326908036086491,0.105813315664071,0.0771318620789971,0.0686717908535381,0.0376004060739889,0.124550045769669,0.0960217879237381,0.0906692788706878,0.0676310488696,0.162045019242026,0.100809899648024,0.107380584168761,0.067040718376178,0.103132250735005,0.0431748705230241,0.310696148419907,0.28399037970676,0.0877810991154094,0.00708887983450189,0.3412808467771,0,1.10525807071983,0,13.8487253843457,28.8633258688448,16.0208161318014,1.9614893801641,1.39748214857655,-0.25478067770781,0.957204740834607,5.0427015187026,5.81802393443903,4.42834345112937,4.92087848193853,6.90688671281568,6.21557038131547
"8","SB0.4",2018-06-26 13:15:00,1.489410385,0.3664440785,1.9216298295,1.185370628,177.55300925,2018-06-26 13:15:30,0.377373828,0.316234971,0.144106173,0.011798927,2.7,320776.537395517,5637677.76450538,52.6,31.04399752,"SB",0.0222434368025817,0.111997563320082,2,1.66260373474089,1.19540419357194,1.95167698858656,0.913850458879929,0.138761870425143,0.0879336902721684,0.0941837422159545,0.0514118069470427,0.109467974944199,0.080667357331534,0.0823947478182838,0.0530167914718326,0.115716721035013,0.0973689899780017,0.0841657202652401,0.0510790056515443,0.155591176290036,0.108236112574978,0.111170013704937,0.0686308936256308,0.164706570768518,0.0862289802358641,0.309340177634232,0.284184712232712,0.0885379154258502,0.00706611615545841,0.3412808467771,0,1.10525807071983,0,13.8487253843457,66.9595439867968,10.0943376271099,1.97395782712648,1.34748132332325,-0.315122411417637,0.900223802373151,4.70982187798578,5.85043340888592,4.26101300264875,4.74156865348841,6.94603805960559,6.24206051874787
"9","SB0.5",2018-06-26 13:05:00,1.97472289075,0.4335317265,2.424492019,1.0355557805,177.5474537,2018-06-26 13:07:30,0.37785717375,0.31610412925,0.15052068375,0.008461015,2.9,320719.492885374,5637658.07891546,50.9,29.9074687875,"SB",0.0486898173859896,0.076565868852045,4,1.55652971065031,1.15237557644893,1.89131151258033,0.919168556343128,0.0429970458745271,0.100547302458673,0.0495654971854536,0.0225704017583819,0.0914295519025543,0.0804120288829626,0.057913794682827,0.0365255457244011,0.128105614011211,0.0876518605935352,0.0846070614715441,0.0652777179108481,0.162425402260829,0.101834499270797,0.102747745812532,0.0663200039707358,0.0231948341225175,0.13362109762567,0.310513937639067,0.286721010030971,0.0888503752947951,0.00714748854360285,0.152485367374801,0,0.972529276452502,0,14.5572866785335,40.5572047045348,67.1067403383255,1.84606013331951,1.58550284176834,0.0289731311180241,1.18201880154686,6.24706452090739,5.42872568174261,5.01576124782096,5.52977558776413,6.43852410090248,5.8400380206976
"10","SB0.5",2018-06-26 13:10:00,1.84521137,0.5437345,2.443774585,1.054998224,177.5491898,2018-06-26 13:10:00,0.371225573,0.312489614,0.149220711,0.008418935,2.9,320719.492885374,5637658.07891546,50.9,30.25779596,"SB",NA,NA,1,1.65226282628436,1.13030585866045,1.89739449792547,0.943247485984612,0.0961285248388779,0.0458442450808673,0.0578871529040246,0.0326908036086491,0.105813315664071,0.0771318620789971,0.0686717908535381,0.0376004060739889,0.124550045769669,0.0960217879237381,0.0906692788706878,0.0676310488696,0.162045019242026,0.100809899648024,0.107380584168761,0.067040718376178,0.103132250735005,0.0431748705230241,0.310696148419907,0.28399037970676,0.0877810991154094,0.00708887983450189,0.152485367374801,0,0.972529276452502,0,14.5572866785335,NA,16.0208161318014,1.9614893801641,1.5219839164165,-0.13027890986786,1.04909336736034,5.90487263362295,5.81802393443903,4.87051040492021,5.35927983894403,6.90688671281568,6.27697463303246
