"","loc","date","gps","unique.c","orig.c","doy.dayfract","SZA","Location.x","Lat","Lon","Incoming.at.750nm..W.m.2nm.1sr.1.","Reflected.760..W.m.2nm.1sr.1.","Reflected.687..W.m.2nm.1sr.1.","Reflectance.750....","Reflectance.760....","temp1..C.","temp2..C.","temp3..C.","temp4..C.","h1....","h2....","E_stability....","sat.value.L","sat.value.E","sat.value.E2","SIF_A_ifld.x","SIF_B_ifld.x","SIF_A_sfm.x","SIF_B_sfm.x","A_sfm_conv","B_sfm_conv","NDVI","PRI","MTCI","SR","EVI","REP","TCARI","REDCl","mCRI","EPAR","LPAR","E_stability.full....","sat.value.L.full","sat.value.E.full","sat.value.E2.full","ele","magvar","geoidheigh","Location.y","SPAD2","SPAD3","SPAD2_up","SPAD3_up","Fresh_w_A","Fresh_w_B","Tillers","Sunscan","Des_LA_cm","x","y","SIF_A_ifld.sd","SIF_A_sfm.sd","SIF_A_ifld.y","SIF_B_ifld.y","SIF_A_sfm.y","SIF_B_sfm.y","rSIF_A_ifld","rSIF_B_ifld","rSIF_A_sfm","rSIF_B_sfm"
"1","W1.10",0006-06-18 10:50:00,62,100,22,157.4539398,37.797721824,10,45,9,0.3391955794,0.0957992664,0.0058738074,0.274466615,0.312591464,20.07,29.25,30.56,26.1,64.7,50.9,0.1193756262,0,0,0,1.8737841126,0.2485763872,1.9719423354,0.7087115424,0,0,0.9227772044,-0.017525626,3.5709681988,0.9804250614,0.4029294916,736.07474724,0.0275603972,2.1373401708,-3.6673527968,0.3794285892,0.0039691764,0.4914678982,0,0,0,93.703476,320262.096911457,5637977.82529417,10,46.8,56,51.8,60.9,24.9,52.4,5,5.4,290,6.44572,50.8655,0.0932443581205657,0.0288507803942569,NA,NA,NA,NA,NA,NA,NA,NA
"2","W1.11",0006-06-18 10:57:00,63,107,29,157.45880786,36.670422984,11,45,9,0.3491802554,0.0919953472,0.0061918716,0.2572297536,0.2899148504,20.07,29.334,31.24,26.16,64.98,51.9,0.1127995754,0,0,0,1.604044981,0.2139442812,1.74357558,0.69374161,0,0,0.9123383324,-0.019291768,3.212794879,0.982180042,0.3648750444,735.08772414,0.0265390902,1.9421495834,-3.4693547336,0.4022566236,0.0042060258,0.4979017138,0,0,0,93.793762,320231.988051365,5637970.85276557,11,43.7,54.7,52.1,52.1,22.5,46.1,5,5.2,198,6.4453,50.8654,0.085461333487966,0.0338636189563254,NA,NA,NA,NA,NA,NA,NA,NA
"3","W1.12",0006-06-18 11:04:00,64,114,36,157.46366436,35.563978404,12,45,9,0.3451962894,0.0894424942,0.0067606538,0.2528450212,0.2844064148,20.07,29.438,31.96,26.24,65.64,49.84,0.0835183272,0,0,0,1.610589483,0.222068508,1.6772052674,0.565550489,0,0,0.9046434502,-0.0202142186,3.0488382868,0.9803810064,0.3599557118,735.28435226,0.0260196422,1.9043028538,-3.4400685344,0.3900790138,0.0042264866,0.5549098376,0,0,0,94.050842,320190.701998782,5637960.48269818,12,53.8,57.4,53.4,63.1,26,61.3,6,4.2,383,6.44472,50.8653,0.093050860146044,0.0305664326069126,NA,NA,NA,NA,NA,NA,NA,NA
"4","W1.14",0006-06-18 11:21:00,66,131,53,157.47547224,32.963154436,14,45,9,0.3468103914,0.0954434668,0.0067456466,0.2686403168,0.3039209562,20.07,29.688,34.96,26.5,65.54,42.68,0.1076450964,0,0,0,1.8305657408,0.2203187722,1.9401774966,0.6751099516,0,0,0.9150636014,-0.0267706294,3.1785223142,0.980223714,0.3541929254,735.35394666,0.0263788838,1.9443222544,-3.444056299,0.425675133,0.0041759488,0.3471978984,0,0,0,94.584518,320202.55206092,5637991.46248854,14,51.7,50.1,48.5,51.1,21.2,37.9,3,5.8,141,6.44487,50.8656,0.0325015052371512,0.0457133923422657,NA,NA,NA,NA,NA,NA,NA,NA
"5","W1.15",0006-06-18 11:27:00,67,137,59,157.47963658,32.08122347,15,45,9,0.3509673624,0.1024406258,0.0064554,0.2834058726,0.3218430086,20.07,29.7,35.72,26.48,63.94,41.7,0.0297024962,0,0,0,1.8675665474,0.1944448756,1.9890971174,0.6867697502,0,0,0.9226057352,-0.0172065298,3.5797518552,0.9797749074,0.385925729,736.35940866,0.0258184012,2.1596082986,-3.7000579554,0.4240823572,0.0042143662,0.4428779996,0,0,0,94.905045,320227.913346881,5637995.59372822,15,51.1,61.4,51.8,51.5,25,49.9,5,6.1,198,6.44523,50.8656,0.0463398728364163,0.0281670614959579,NA,NA,NA,NA,NA,NA,NA,NA
"6","W1.15",0006-06-18 11:32:00,67,141.5,63.5,157.482761575,31.43305201,15,45,9,0.35159002875,0.102257038,0.006536123,0.28252933775,0.32134899325,20.07,29.72,35.875,26.575,67.575,41.625,0.04769558775,0,0,0,1.9084527655,0.294125758,2.088139682,0.707425844,0,0,0.92233346625,-0.016811326,3.57302999125,0.981710575,0.385666327,736.271065325,0.025766899,2.166718262,-3.70682246125,0.425225748,0.0042229315,0.252578969,0,0,0,94.905045,320227.913346881,5637995.59372822,15,51.1,61.4,51.8,51.5,25,49.9,5,6.1,198,6.44523,50.8656,0.183291566683146,0.111845185510438,NA,NA,NA,NA,NA,NA,NA,NA
"7","W1.16",0006-06-18 11:37:00,68,147,69,157.48658102,30.658905976,16,45,9,0.3538677422,0.0971593162,0.0055399592,0.2655506218,0.3038893128,20.07,29.762,36.14,26.76,64.76,40.9,0.0583008658,0,0,0,1.8324712464,0.1616784354,1.9810236384,0.609233507,0,0,0.9279494108,-0.0133931008,3.8158887376,0.983495146,0.3705503444,737.05630112,0.0235871734,2.2897841036,-3.8484454152,0.429504995,0.0038376254,0.1043242654,0,0,0,96.150078,320257.231641845,5638004.15194915,16,50.2,53.3,54.8,57.2,24,44.3,4,5.6,263,6.44564,50.8657,0.0935110232162799,0.0653574912807132,NA,NA,NA,NA,NA,NA,NA,NA
"8","W1.17",0006-06-18 11:44:00,69,154,76,157.49144212,29.703703844,17,45,9,0.3539341078,0.098286039,0.0060910118,0.2697807416,0.3067677382,20.07,29.786,36.96,26.84,63.22,39.98,0.0939860324,0,0,0,1.7295395994,0.1813932328,1.9290963614,0.6795750824,0,0,0.9196973442,-0.0163409528,3.5288339284,0.9820431878,0.3618758122,736.09771724,0.0238436962,2.1392637664,-3.688167198,0.4321377586,0.004089304,0.1521592114,0,0,0,96.379257,320284.650177089,5638012.7760585,17,47.1,48,54.3,65.5,21.2,35,2,5.9,138,6.44603,50.8658,0.0529340862966658,0.0406812609865326,NA,NA,NA,NA,NA,NA,NA,NA
"9","W1.18",0006-06-18 11:51:00,70,161,83,157.49630324,28.785960406,18,45,9,0.353870569,0.1054041052,0.0058977194,0.287971733,0.3302568778,20.07,29.834,37.48,26.94,63.24,37.42,0.0583070276,0,0,0,2.0056369442,0.2116371696,2.1864502136,0.6436234676,0,0,0.9307245514,-0.0131918708,3.9582665222,0.9797431216,0.3954122266,737.26493204,0.0246892298,2.3878190086,-3.9611373852,0.4327613656,0.0040517586,0.1601922776,0,0,0,96.434471,320312.495734064,5638019.49323338,18,47.1,50.2,54.2,72.7,23.6,47.5,5,5.6,250,6.44642,50.8659,0.113326354564791,0.0584571889326315,NA,NA,NA,NA,NA,NA,NA,NA
"10","W1.19",0006-06-18 11:58:00,71,168,90,157.501169,27.908872434,19,45,9,0.3598547742,0.1041240076,0.006066588,0.2800917056,0.3218105934,20.07,29.872,37.86,27,61.8,36.74,0.0402949624,0,0,0,2.079477999,0.213084159,2.2454492228,0.6859257536,0,0,0.924974642,-0.0110345202,3.7736737786,0.9812289988,0.3857227148,737.2315779,0.0244865632,2.312646265,-3.9093344176,0.4451466864,0.0043204354,0.151222412,0,0,0,97.878891,320373.513388729,5638034.19086715,19,53.8,59,52.9,53.8,23.2,41.4,3,6.2,228,6.44728,50.866,0.0793910158965879,0.0475477499030321,NA,NA,NA,NA,NA,NA,NA,NA
